# corpus-census-rust.tsv — the PINNED rust census roster.  SOUNDNESS R663.
#
# WHY THIS FILE EXISTS.  R662 measured what a month of soundness work changed for a user, over
# "1,626 crates" — which were not a corpus at all, but whatever `cargo` happened to have
# downloaded into this laptop's registry cache.  Nothing owned it, nothing pinned it, and it does
# not exist on the second machine, so THE HEADLINE MEASUREMENT OF THE PROJECT WAS UNREPEATABLE.
# An instrument whose input is an accident produces a number nobody can check.
#
# This is NOT the oracle roster in corpus.sh.  That one is four checkouts chosen for the SHAPES
# they expose (see its comments — sqlite-jdbc is there for one filter, axios for one .d.ts case).
# This one is chosen for SCALE, so a percentage has a denominator.  Keep both; they answer
# different questions and a census over four curated projects would be worthless.
#
# name<TAB>version.  Acquire with: bash bin/corpus-census.sh rust
# Snapshotted 2026-09-25 from the registry that produced R662, so that census is reproducible.
adaptive-barrier	1.0.0
adler2	2.0.1
aes	0.8.4
ahash	0.7.8
ahash	0.8.12
aho-corasick	1.0.2
aho-corasick	1.1.2
aho-corasick	1.1.4
aho-corasick	1.1.5
aliasable	0.1.3
alloca	0.4.0
allocator-api2	0.2.21
ambient-authority	0.0.2
amq-protocol	10.6.3
amq-protocol	7.2.3
amq-protocol-tcp	10.6.3
amq-protocol-tcp	7.2.3
amq-protocol-types	10.6.3
amq-protocol-types	7.2.3
amq-protocol-uri	10.6.3
amq-protocol-uri	7.2.3
android_system_properties	0.1.6
anes	0.1.6
anstream	1.0.0
anstyle	1.0.14
anstyle	1.0.6
anstyle-parse	1.0.0
anstyle-query	1.1.5
anstyle-wincon	3.0.11
anyhow	1.0.101
anyhow	1.0.102
anyhow	1.0.104
anyhow	1.0.71
approx	0.5.1
ar_archive_writer	0.5.2
arbitrary	1.4.2
arboard	3.6.1
arc-swap	1.9.2
arcstr	1.2.0
argon2	0.5.3
argon2	0.6.0
arrayvec	0.7.8
arrow	58.4.0
arrow-arith	58.4.0
arrow-array	58.4.0
arrow-buffer	58.4.0
arrow-cast	58.4.0
arrow-data	58.4.0
arrow-ord	58.4.0
arrow-row	58.4.0
arrow-schema	58.4.0
arrow-select	58.4.0
arrow-string	58.4.0
asn1-rs	0.7.2
asn1-rs-derive	0.6.0
asn1-rs-impl	0.2.0
async-attributes	1.1.2
async-channel	1.9.0
async-channel	2.5.0
async-compat	0.2.5
async-compat	0.2.6
async-compression	0.4.43
async-compression	0.4.44
async-compression	0.4.45
async-compression	0.4.47
async-compression	0.4.48
async-executor	1.14.0
async-fs	2.2.0
async-global-executor	2.4.1
async-global-executor	3.1.0
async-global-executor-trait	2.2.0
async-io	1.13.0
async-io	2.6.0
async-lock	2.8.0
async-lock	3.4.2
async-nats	0.35.1
async-nats	0.50.0
async-process	2.5.0
async-reactor-trait	1.1.0
async-rs	0.8.12
async-signal	0.2.14
async-std	1.13.2
async-stream	0.3.6
async-stream-impl	0.3.6
async-task	4.7.1
async-trait	0.1.92
atoi	2.0.0
atomic	0.6.1
atomic-waker	1.1.2
autocfg	1.1.0
autocfg	1.5.0
autocfg	1.5.1
automod	1.0.17
aws-config	1.11.0
aws-config	1.12.0
aws-credential-types	1.3.0
aws-lc-rs	1.18.0
aws-lc-rs	1.18.1
aws-lc-sys	0.44.0
aws-lc-sys	0.45.0
aws-runtime	1.10.0
aws-runtime	1.9.1
aws-runtime	1.9.2
aws-sdk-sso	1.108.0
aws-sdk-sso	1.109.0
aws-sdk-sso	1.112.0
aws-sdk-ssooidc	1.110.0
aws-sdk-ssooidc	1.111.0
aws-sdk-ssooidc	1.114.0
aws-sdk-sts	1.113.0
aws-sdk-sts	1.114.0
aws-sdk-sts	1.117.0
aws-sigv4	1.5.1
aws-sigv4	1.6.0
aws-smithy-async	1.3.0
aws-smithy-http	0.64.0
aws-smithy-http-client	1.4.0
aws-smithy-http-client	1.4.2
aws-smithy-json	0.63.0
aws-smithy-json	0.63.1
aws-smithy-observability	0.3.0
aws-smithy-query	0.62.0
aws-smithy-query	0.62.1
aws-smithy-runtime	1.14.0
aws-smithy-runtime	1.14.2
aws-smithy-runtime	1.15.0
aws-smithy-runtime-api	1.15.0
aws-smithy-runtime-api	1.16.0
aws-smithy-runtime-api	1.16.2
aws-smithy-runtime-api	1.17.0
aws-smithy-runtime-api-macros	1.1.0
aws-smithy-schema	0.2.0
aws-smithy-schema	0.2.1
aws-smithy-types	1.6.2
aws-smithy-types	1.6.3
aws-smithy-types	1.6.4
aws-smithy-types	1.8.0
aws-smithy-xml	0.62.0
aws-smithy-xml	0.62.1
aws-types	1.5.0
aws-types	1.6.0
axum	0.7.9
axum	0.8.9
axum-core	0.4.5
axum-core	0.5.6
backoff	0.4.0
backon	1.6.0
base64	0.11.0
base64	0.21.7
base64	0.22.1
base64	0.23.1
base64-simd	0.8.0
base64ct	1.8.3
bcrypt	0.15.1
bcrypt	0.19.3
bencher	0.1.5
bigdecimal	0.4.10
bincode	1.3.3
bindgen	0.72.1
bit-set	0.5.3
bit-set	0.8.0
bit-vec	0.6.3
bit-vec	0.8.0
bitflags	1.3.2
bitflags	2.10.0
bitflags	2.11.0
bitflags	2.11.1
bitflags	2.13.1
bitflags	2.13.2
bitflags	2.9.1
bitflags	2.9.4
bitvec	1.1.1
blake2	0.10.6
blake2	0.11.0
block-buffer	0.10.4
block-buffer	0.12.1
block-padding	0.3.3
block2	0.6.2
blocking	1.7.0
blowfish	0.10.0
blowfish	0.9.1
borsh	1.8.1
borsh-derive	1.8.1
bs58	0.5.1
bson	2.15.0
bstr	1.12.1
bstr	1.13.0
bstr	1.13.1
btoi	0.4.3
btoi	0.5.0
bufstream	0.1.4
bumpalo	3.15.3
bumpalo	3.20.2
bumpalo	3.20.3
by_address	1.2.1
bytecheck	0.6.12
bytecheck	0.8.2
bytecheck_derive	0.6.12
bytecheck_derive	0.8.2
bytemuck	1.25.2
byteorder	1.5.0
byteorder-lite	0.1.0
bytes	1.12.1
bytes-utils	0.1.4
camino	1.2.2
candor-classify	0.32.0
candor-classify	0.32.1
candor-classify	0.33.0
candor-classify	0.33.1
candor-classify	0.34.0
candor-classify	0.35.0
candor-classify	0.36.0
candor-classify	0.36.1
candor-classify	0.36.2
candor-classify	0.37.0
candor-classify	0.38.0
candor-classify	0.38.1
candor-classify	0.38.2
candor-classify	0.38.3
candor-classify	0.39.0
candor-classify	0.39.1
candor-classify	0.39.2
candor-query	0.32.1
candor-query	0.35.0
candor-query	0.38.0
candor-query	0.38.1
candor-report	0.32.0
candor-report	0.32.1
candor-report	0.33.0
candor-report	0.33.1
candor-report	0.34.0
candor-report	0.35.0
candor-report	0.36.0
candor-report	0.36.1
candor-report	0.36.2
candor-report	0.37.0
candor-report	0.38.0
candor-report	0.38.1
candor-report	0.38.2
candor-report	0.38.3
candor-report	0.39.0
candor-report	0.39.1
candor-report	0.39.2
candor-scan	0.32.1
candor-scan	0.34.0
candor-scan	0.35.0
candor-scan	0.38.0
candor-scan	0.38.1
cap-primitives	3.4.5
cap-primitives	3.4.6
cap-std	3.4.5
cap-std	3.4.6
cargo_metadata	0.23.1
cargo-platform	0.3.3
cassowary	0.3.0
cast	0.3.0
castaway	0.2.4
cbc	0.1.2
cc	1.2.63
cc	1.2.66
cc	1.3.0
cc	1.4.4
cc	1.4.5
cc	1.4.6
cc	1.4.7
cexpr	0.6.0
cfg_aliases	0.1.1
cfg_aliases	0.2.2
cfg-if	1.0.0
cfg-if	1.0.1
cfg-if	1.0.3
cfg-if	1.0.4
cfg-if	1.0.5
chacha20	0.10.1
chacha20	0.10.2
chrono	0.4.45
ciborium	0.2.2
ciborium-io	0.2.2
ciborium-ll	0.2.2
cipher	0.4.4
cipher	0.5.2
clang-sys	1.9.1
clap	4.5.1
clap	4.6.1
clap	4.6.6
clap	4.6.7
clap_builder	4.5.1
clap_builder	4.6.0
clap_builder	4.6.6
clap_builder	4.6.7
clap_lex	0.7.0
clap_lex	1.0.0
clap_lex	1.1.0
clap_lex	1.1.1
clipboard-win	5.4.1
clircle	0.5.0
clircle	0.6.1
cmake	0.1.58
cmov	0.5.4
cms	0.2.3
color-print	0.3.7
color-print-proc-macro	0.3.7
colorchoice	1.0.4
colorchoice	1.0.5
combine	4.6.8
compact_str	0.8.2
compact_str	0.9.1
compiletest_rs	0.11.2
compression-codecs	0.4.38
compression-codecs	0.4.39
compression-codecs	0.4.40
compression-codecs	0.4.42
compression-codecs	0.4.43
compression-core	0.4.32
compression-core	0.4.33
concurrent-queue	2.5.0
console	0.15.11
console	0.16.4
console	0.16.6
const-oid	0.10.2
const-oid	0.9.6
